artwork - HAUTEUR,artwork - TITRE,artwork - UNIQUE_KEY,artwork - URL,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - DISPLAY_MATIERE,artwork - DISPLAY_DATE_EXE_TXT,artwork - LARGEUR,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_TECHNIQUE,artwork - DISPLAY_ROLE_AUTEUR
"1,29","Marguerite de Luxembourg, duchesse de Tresmes (+ 1645), épouse de René Potier, duc de Tresmes",135095,https://agorha.inha.fr/inhaprod/ark:/54721/003135095,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0248/elem_0186/FR75_0037_REL_135096_0010_low.jpg,statue/priant,Eglise Saint-Gervais-Saint-Protais (Paris),marbre,17e siècle,,"Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,5",Homme inconnu du XIXe siècle,135109,https://agorha.inha.fr/inhaprod/ark:/54721/003135109,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0159/FR78_0001_MUS_135109_0170_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,19e siècle,"0,28","Boyer - Jean Louis - sculpteur - Actif à Paris fin du 18e siècle, début du 19e siècle - Boyer - Jean-Louis",taillé,
,"Cherhal-Montréal, Louis-François, homme de lettres, auteur d'une Constitution",,,,,,,,,,,
30,Pierre Puget,136097,https://agorha.inha.fr/inhaprod/ark:/54721/003136097,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0121/FR00_0001_136097_0048_low.jpg,statue,Localisation inconnue,,16 août 1796  (29 Thermidor An 4),,Foucou - Jean-Joseph - sculpteur - 7 juin 1739 - 1815 - 7 juin 1739 - 1815 - Foucou - Charles-Joseph-Louis,,
"1,6",Saint Jean,135001,https://agorha.inha.fr/inhaprod/ark:/54721/003135001,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0027/FR75_0007_MUS_135001_0008_low.jpg,statue,"Musée de Cluny, Musée national du Moyen Âge (Paris)",pierre,2e quart du 13e siècle,,"Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
,Un apôtre,,,,,,,,,,,
"0,474","Martin Fréminet, peintre du roi (1657-1619)",135534,https://agorha.inha.fr/inhaprod/ark:/54721/003135534,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0082/FR75_0002_MUS_135534_0996_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),bronze,1620 - 1622,"0,474",Tremblay - Barthélemy - sculpteur - 1568 - Avant le 10 août 1629 - 1568 - Avant le 10 août 1629 - Du Tremblay - Barthélemy,fonte,
"0,77","Jacques Sirmond, jésuite (1559-1651)",135130,https://agorha.inha.fr/inhaprod/ark:/54721/003135130,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0183/FR78_0001_MUS_135130_0194_low.jpg,sculpture/médaillon,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,1698,"0,64",Defer - Jean-Baptiste - sculpteur - 1674 - 1727 - 1674 - 1727,taillé,
"0,65","Jean-Baptiste Poquelin, dit Molière, écrivain (1622-1673)",135151,https://agorha.inha.fr/inhaprod/ark:/54721/003135151,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0014/FR78_0001_MUS_135151_0114_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,18e siècle,"0,62",Houdon - Jean-Antoine - sculpteur - 20 mars 1741 - 15 juillet 1828 - 20 mars 1741 - 15 juillet 1828,patiné,d'après
"1,47",La Prudence,135191,https://agorha.inha.fr/inhaprod/ark:/54721/003135191,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0205/FR75_0002_MUS_135191_1047_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,17e siècle,"0,54",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,taillé,
"0,52","Charles Brulard de Léon, conseiller d'Etat (+ 1649)",135107,https://agorha.inha.fr/inhaprod/ark:/54721/003135107,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0249/FR78_0001_MUS_135107_0099_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,17e siècle,"0,55",Bourdin - Michel - sculpteur - 1609 - 1678 - 1609 - 1678 - II,taillé,attribué à
"1,41",Le départ de Régulus,142089,https://agorha.inha.fr/inhaprod/ark:/54721/003142089,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0009/FR75_0043_ADM_142089_0083_low.jpg,bas-relief,Ecole nationale supérieure des beaux-arts (Paris),plâtre,1801,"1,78",Marin - Joseph-Charles - sculpteur - 15 juin 1759 - 18 septembre 1834 - 15 juin 1759 - 18 septembre 1834 - Marin - Joseph Charles,,
"0,34",Jean de Rostaing en oraison devant une statue de saint Jean-Baptiste,135538,https://agorha.inha.fr/inhaprod/ark:/54721/003135538,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0083/FR75_0002_MUS_135538_0997_low.jpg,relief/fragment,Département des sculptures du musée du Louvre (Paris),albâtre,2e quart du 17e siècle - 3e quart du 17e siècle,"0,24","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,61","Charles Bailly, président de la Chambre des Comptes de Paris (+ 1627)",135144,https://agorha.inha.fr/inhaprod/ark:/54721/003135144,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0172/FR78_0001_MUS_135144_0183_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,1628,"0,66",Guillain - Simon - sculpteur - 1581 - 26 décembre 1658 - 1581 - 26 décembre 1658 - Guillain - I - Simon,taillé,
"0,72",Louis XIV,135857,https://agorha.inha.fr/inhaprod/ark:/54721/003135857,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0025/FR78_0001_MUS_135857_0125_low.jpg,médaillon,Musée national des châteaux de Versailles et de Trianon (Versailles),bronze/marbre noir,1705 - 1706,"0,63",Benoist - Antoine - sculpteur/peintre - 24 février 1632 - 8 avril 1717 - 24 février 1632 - 8 avril 1717 - Benoît - Antoine,,
"1,67","Deux trophées du mausolée de Louis de Cossé, duc de Brissac",144021,https://agorha.inha.fr/inhaprod/ark:/54721/003144021,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0174/FR75_0016_MUS_136411_0169_low.jpg,plaque décorative,"Basilique cathédrale Saint-Denis, ancienne abbaye (Saint-Denis)",marbre,Après 1661,"0,55",Le Hongre - Étienne - sculpteur - 1628 - 1690 - 1628 - 1690 - Lehongre - Étienne,taillé,
"1,1",La mort de la Vierge,135464,https://agorha.inha.fr/inhaprod/ark:/54721/003135464,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0152/FR75_0016_MUS_135464_0054_low.jpg,haut-relief,Département des sculptures du musée du Louvre (Paris),albâtre,1510 - 1530,"2,28","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"1,489","Louis-François-Armand du Plessis, duc de Richelieu (1696-1788)",135632,https://agorha.inha.fr/inhaprod/ark:/54721/003135632,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0081/FR75_0002_MUS_135632_1173_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1748,"0,93",Schiaffino - Francesco Maria - sculpteur - Vers 1688 - Vers 1763 - Vers 1688 - Vers 1763 - Actif au XVIIIe siècle,taillé,
"0,73",Statue funéraire de Marguerite de Mandelot (+ 1593),141983,https://agorha.inha.fr/inhaprod/ark:/54721/003141983,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0080/FR02_0002_MUS_141983_0121_low.jpg,statue/haut-relief,Musée d'Art et d'Archéologie (Laon),marbre,1593 - 1597,,Jacquet - Mathieu - sculpteur - Vers 1545 - Vers 1611 - Vers 1545 - Vers 1611 - Grenoble - Mathieu Jacquet de,,attribué à
,"Statue en bas-relief représentant soit Madeleine de l'Aubespine, soit Gabrielle d'Estrées, morte en 1599",,,,,,,,,,,
2,Henri IV en armure,142644,https://agorha.inha.fr/inhaprod/ark:/54721/003142644,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0117/FR64_0001_MUS_142644_0003_low.jpg,statue,Musée national du château de Pau,marbre blanc,,,Tremblay - Barthélemy - sculpteur - 1568 - Avant le 10 août 1629 - 1568 - Avant le 10 août 1629 - Du Tremblay - Barthélemy,,
130,"La Vierge, le Christ enfant et deux anges adorateurs",135851,https://agorha.inha.fr/inhaprod/ark:/54721/003135851,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0152/FR95_0001_MUS_135851_0040_low.jpg,mosaïque,Musée national de la Renaissance (Ecouen),pierre,Avant 1496,"80,7",Ghirlandaio - Davide - peintre - 1452 - 1525 - 1452 - 1525 - Maître de Saint Louis,opus tessellatum/mosaïque,
"1,31","Madeleine de Laubespine (1545-1596), épouse de Nicolas IV de Neufville de Villeroy, en priant",135887,https://agorha.inha.fr/inhaprod/ark:/54721/003135887,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0055/FR95_0004_REL_135886_0002_low.jpg,statue/priant,Eglise Notre-Dame-de-la-Nativité (Magny-en-Vexin),marbre,1599 - 1602,"0,69",Jacquet - Mathieu - sculpteur - Vers 1545 - Vers 1611 - Vers 1545 - Vers 1611 - Grenoble - Mathieu Jacquet de,taillé,
"1,315",Nicolas IV de Villeroy (1542-1617),135886,https://agorha.inha.fr/inhaprod/ark:/54721/003135886,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0055/FR95_0004_REL_135886_0002_low.jpg,statue/priant,Eglise Notre-Dame-de-la-Nativité (Magny-en-Vexin),marbre,Après 1617,"0,675",Jacquet - Germain - sculpteur/peintre - 26 avril 1574 - 1637 - 26 avril 1574 - 1637,taillé,
"0,6","François-Nicolas de Neufville, en priant",,,,,,,,"0,297",,,
"0,845",Saphira aux pieds de saint Pierre,135306,https://agorha.inha.fr/inhaprod/ark:/54721/003135306,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0010/elem_0245/FR75_0016_MUS_135306_0014_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),calcaire,1542 - 1543,"1,275",Marchand - François - sculpteur - 1551 - 1551 - Actif au XVIe siècle,taillé,
"1,56","Marie de Bourbon, prieure de Saint-Louis de Poissy (+ 10 janvier 1402)",135616,https://agorha.inha.fr/inhaprod/ark:/54721/003135616,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0080/FR75_0002_MUS_135616_1172_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre noir,1er quart du 15e siècle,"0,49","Anonyme, Ile-de-France - sculpteur - 15e siècle",taillé,
"1,9",Quatre figures de femmes,136442,https://agorha.inha.fr/inhaprod/ark:/54721/003136442,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0130/FR75_0016_MUS_135530_0131_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),bois/doré,1er quart du 17e siècle,"0,68","Anonyme, Ile-de-France - sculpteur - 17e siècle",,
,Quatre allégories : La Tempérance ; La Prudence; La Force; La Justice,135869,https://agorha.inha.fr/inhaprod/ark:/54721/003135869,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0053/FR93_0001_REL_135869_0233_low.jpg,sculpture,"Basilique cathédrale Saint-Denis, ancienne abbaye (Saint-Denis)",marbre blanc,1516 - 1531,,Juste - Jean - sculpteur - 1485 - 1549 - 1485 - 1549 - Ier - Juste - Ier - Jehan,taillé,de
18,"Le roi Charles V, dit le Sage",137483,https://agorha.inha.fr/inhaprod/ark:/54721/003137483,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0010/elem_0031/FR00_0001_137483_0026_low.jpg,verrière,Localisation inconnue,verre/plomb,14e siècle,,Anonyme,vitrail,
"0,65","André Le Nôtre, intendant et architecte des Jardins de Louis XIV (+ 1700)",135791,https://agorha.inha.fr/inhaprod/ark:/54721/003135791,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0177/FR75_0004_REL_135791_0011_low.jpg,buste/sculpture,Eglise Saint-Roch (Paris),marbre blanc,17e siècle,,"Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,54",Saint Georges combattant le dragon,135955,https://agorha.inha.fr/inhaprod/ark:/54721/003135955,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0157/FR95_0001_MUS_135955_0045_low.jpg,stalle/élément/relief,Musée national de la Renaissance (Ecouen),chêne/bois,1508 - 1510,"0,68","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,485","Ange debout, tenant un encensoir",135661,https://agorha.inha.fr/inhaprod/ark:/54721/003135661,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0123/FR00_0001_136404_0070_low.jpg,haut-relief,Liebieghaus Skulpturen Sammlung (Francfort-sur-le-Main),pierre,Vers 1235,"0,19","Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé/polychrome,
"0,72","Dominique de Vic, vicomte d'Ermenonville, dit le capitaine Sarrède (Ermenonville, 1551-Paris, 1610), vice-amiral de France, gouverneur de Saint-Denis (1591), de Calais puis d'Amiens (1594), ambassadeur en Suisse (1604) et conseiller d'État (1610)",135248,https://agorha.inha.fr/inhaprod/ark:/54721/003135248,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0175/FR75_0016_MUS_135248_0131_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,1610,"0,54",Dupré - Guillaume - sculpteur/médailleur - 1576 - 1643 - 1576 - 1643,taillé,
"0,4",Tête de chérubin,146514,https://agorha.inha.fr/inhaprod/ark:/54721/003146514,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0018/FR75_0043_ADM_146514_0092_low.jpg,relief,Ecole nationale supérieure des beaux-arts (Paris),pierre,1573 - 1574,"0,35",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,entourage de
,Méléagre,145725,https://agorha.inha.fr/inhaprod/ark:/54721/003145725,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0076/JP_0001_DOM_145725_0001_low.jpg,statue,Tokyo,marbre blanc,,,,taillé,
"1,1",Stèle funéraire de Démétrios,145713,https://agorha.inha.fr/inhaprod/ark:/54721/003145713,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0158/FR75_0002_MUS_145713_1303_low.jpg,stèle,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,L'an 75 - L'an 100,"0,49",,taillé,
1,Génie funéraire,147315,https://agorha.inha.fr/inhaprod/ark:/54721/003147315,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0156/FR75_0002_MUS_147315_1302_low.jpg,statue,Eglise Saint-Sulpice (Paris),marbre blanc,1750 - 1757,,Slodtz - Michel-Ange - sculpteur - 27 septembre 1705 - 26 octobre 1764 - 27 septembre 1705 - 26 octobre 1764 - Actif à Paris au XVIIIe siècle - Slodtz - René Michel,taillé,
"0,66",Philibert Delorme,140049,https://agorha.inha.fr/inhaprod/ark:/54721/003140049,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0002/FR75_0043_ADM_140049_0076_low.jpg,médaillon,Ecole nationale supérieure des beaux-arts (Paris),plâtre,1782,"0,66",Roland - Philippe-Laurent - sculpteur - 13 août 1746 - 1816 - 13 août 1746 - 1816,,
"0,56",Sarcophage orné de rinceaux,145745,https://agorha.inha.fr/inhaprod/ark:/54721/003145745,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0196/FR75_0058_MUS_145745_0009_low.jpg,sarcophage,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,,,,taillé,
"0,51","Buste de femme : sans doute une épouse de Nicolas Braque, soit Jeanne du Tremblay, soit Jeanne Le Bouteiller de Senlis",147320,https://agorha.inha.fr/inhaprod/ark:/54721/003147320,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0023/FR75_0043_ADM_147320_0097_low.jpg,buste,Ecole nationale supérieure des beaux-arts (Paris),pierre,14e siècle,"0,455","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
"0,53",Esculape,147313,https://agorha.inha.fr/inhaprod/ark:/54721/003147313,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0199/FR75_0058_MUS_147313_0012_low.jpg,statuette,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,,,,taillé,
"0,26","Génie appuyé sur un casque, tenant une corne d'abondance, la lettre ""H"" et les deux sceptres de France et de Navarre, buste tourné vers la droite",135289,https://agorha.inha.fr/inhaprod/ark:/54721/003135289,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0189/FR75_0016_MUS_135289_0242_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1597 - 1600,"0,318",Jacquet - Mathieu - sculpteur - Vers 1545 - Vers 1611 - Vers 1545 - Vers 1611 - Grenoble - Mathieu Jacquet de,taillé,
"0,44",Dédicace des habitants d'Abydos,145711,https://agorha.inha.fr/inhaprod/ark:/54721/003145711,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0039/FR75_0016_MUS_145711_1458_low.jpg,inscription,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,L'an 125 - L'an 150,"0,7",,gravé,
"1,25","Statue agenouillée du cardinal Pierre de Bérulle (château de Sérilly, près de Troyes, 1575-Paris, 1629), fondateur de la Congrégation séculière de l'Oratoire (1611)",135397,https://agorha.inha.fr/inhaprod/ark:/54721/003135397,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0233/FR75_0016_MUS_135397_0153_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1653 - 1657,,Sarazin - Jacques - sculpteur/peintre - 1592 - 1660 - 1592 - 1660 - Actif au XVIIe siècle - Sarazin - I - Jacques,taillé,
"2,93","Dalle funéraire gravée de Jean Casse, chanoine et chancelier de la cathédrale de Noyon (+ 3 juin 1350)",135617,https://agorha.inha.fr/inhaprod/ark:/54721/003135617,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0062/FR75_0016_MUS_135617_0145_low.jpg,dalle funéraire,Département des sculptures du musée du Louvre (Paris),calcaire,2e quart du 14e siècle - 3e quart du 14e siècle,"1,42","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
"1,57",Captif enchaîné (Noir),135254,https://agorha.inha.fr/inhaprod/ark:/54721/003135254,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0070/FR75_0002_MUS_135254_1489_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),bronze,1614 - 1618,"0,66",Franqueville - Pierre - sculpteur - 1548 - 1615 - 1548 - 1615 - Francavilla - Pietro,,
"0,47",Relief votif à Aphrodite et Arès,145715,https://agorha.inha.fr/inhaprod/ark:/54721/003145715,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0034/FR75_0016_MUS_145715_1454_low.jpg,stèle,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,L'an 410 avant J.C. - L'an 350 avant J.C.,"0,53",,taillé,
"1,12",Silène,135671,https://agorha.inha.fr/inhaprod/ark:/54721/003135671,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0108/elem_0092/FR75_0057_MUS_135671_0001_low.jpg,relief,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre,L'an 175 - L'an 200,"0,63",,taillé,
"2,1",Athéna,145721,https://agorha.inha.fr/inhaprod/ark:/54721/003145721,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0165/elem_0230/FR75_0058_145721_0005_low.jpg,statue,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,1er siècle - 2e siècle,,Agorakritos - artiste/sculpteur - L'an 450 - 420 avant J.C. - Agoracritos,taillé,d'après
"0,585",Stèle funéraire de Boitenos,145714,https://agorha.inha.fr/inhaprod/ark:/54721/003145714,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0153/FR75_0002_MUS_145714_1305_low.jpg,stèle,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,L'an 100 - L'an 300,"0,27",,taillé,
"1,65",Saint Maurice,135663,https://agorha.inha.fr/inhaprod/ark:/54721/003135663,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0065/FR94_0002_REL_135663_0005_low.jpg,statue,Eglise Saint-Louis-et-Saint-Nicolas (Choisy-le-Roi),marbre,1729,"0,88058",Bousseau - Jacques - sculpteur - 1681 - 1740 - 1681 - 1740,taillé,
"0,27",Tête de chérubin,135329,https://agorha.inha.fr/inhaprod/ark:/54721/003135329,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0190/FR75_0016_MUS_135329_0011_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),marbre,1573 - 1574,"0,2",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,
"0,68",Vase de Cana,136020,https://agorha.inha.fr/inhaprod/ark:/54721/003136020,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0151/FR75_0002_MUS_136020_1299_low.jpg,vase,Département des antiquités orientales du musée du Louvre (Paris),albâtre,,,,taillé,
,Vase des Noces de Cana,,,,,,,,,,,
"0,80",François de Chevert (1695-1769),135942,https://agorha.inha.fr/inhaprod/ark:/54721/003135942,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0249/elem_0003/FR75_0024_REL_135942_0021_low.jpg,sculpture/médaillon,Eglise Saint-Eustache (Paris),marbre,1771,"0,75",Vassé - Louis-Claude - sculpteur/dessinateur - 1716 - 1772 - 1716 - 1772 - Actif à Paris au XVIIIe siècle - Vassez - Louis Claude,taillé,
1,Sarcophage associé au monument de René de Birague et de Valentine Balbiani,135762,https://agorha.inha.fr/inhaprod/ark:/54721/003135762,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0160/FR00_0001_141630_0104_low.jpg,sarcophage,Eglise Saint-Sulpice (Paris),marbre,1750 - 1757,,Slodtz - Michel-Ange - sculpteur - 27 septembre 1705 - 26 octobre 1764 - 27 septembre 1705 - 26 octobre 1764 - Actif à Paris au XVIIIe siècle - Slodtz - René Michel,taillé,
"1,02",La Justice,135391,https://agorha.inha.fr/inhaprod/ark:/54721/003135391,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0114/FR75_0016_MUS_135391_0116_low.jpg,bas-relief/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1643,"0,75",Sarazin - Jacques - sculpteur/peintre - 1592 - 1660 - 1592 - 1660 - Actif au XVIIe siècle - Sarazin - I - Jacques,taillé,
"1,15",Modèle du monument funéraire dédié au peintre Jean-Germain Drouais (1763-1788),137457,https://agorha.inha.fr/inhaprod/ark:/54721/003137457,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0236/FR76_0006_MUS_135909_0142_low.jpg,monument funéraire,Musée des Beaux-Arts (Lyon),plâtre,Après 1788,"0,99",Michallon - Claude - sculpteur - 1751 - 1799 - 1751 - 1799 - Actif à Paris au XVIIIe siècle,,sculpteur
"0,486",La Justice (Génie tenant une balance),135195,https://agorha.inha.fr/inhaprod/ark:/54721/003135195,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0209/FR75_0002_MUS_135195_1051_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,17e siècle,"0,32",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,taillé,
"0,4",Couronne de fleurs et de fruits,135198,https://agorha.inha.fr/inhaprod/ark:/54721/003135198,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0212/FR75_0002_MUS_135198_1054_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),marbre,17e siècle,"0,62",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,taillé,
"1,02",La Tempérance,135394,https://agorha.inha.fr/inhaprod/ark:/54721/003135394,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0117/FR75_0016_MUS_135394_0119_low.jpg,bas-relief/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1643,"0,75",Sarazin - Jacques - sculpteur/peintre - 1592 - 1660 - 1592 - 1660 - Actif au XVIIe siècle - Sarazin - I - Jacques,taillé,
